,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
171,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-기출 문제풀이,5,171,171,False
172,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-핵심요약,5,172,172,False
173,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공법-족집게특강,5,173,173,False
174,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-실력향상 문제풀이,5,174,174,False
175,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 부동산공법-족집게특강,5,175,175,False
176,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 중개사법령 및 실무-족집게특강,5,176,176,False
177,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-실력향상 문제풀이,5,177,177,False
178,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-실전 문제풀이,5,178,178,False
179,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-실력향상 문제풀이,5,179,179,False
180,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-실전 문제풀이,5,180,180,False
181,정규강좌,정보화/IT,디지털 트랜스포메이션,[디지털융합] 기업의 미래를 바꾸는 디지털 혁신 기술,5,181,181,True
182,정규강좌,정보화/IT,디지털 트랜스포메이션,"[스마트팩토리] 인더스트리 4.0시대, 혁신을 위한 스마트 공장 DNA",5,182,182,False
183,정규강좌,정보화/IT,디지털 트랜스포메이션,"새로운 혁신의 시작, 디지털 트랜스포메이션",5,183,183,False
184,정규강좌,정보화/IT,디지털 트랜스포메이션,[4차산업혁명 테크놀로지] 기술이 미래를 바꾸는 순간,5,184,184,False
185,정규강좌,정보화/IT,인공지능,인공지능이 바꾸는 미래 비즈니스,5,185,185,False
186,정규강좌,취업,직업기초능력,"이소은의 퍼블릭 스피킹, 말하기를 말하다",5,186,186,False
187,정규강좌,취업,직무적성검사,최고의 리더를 위한 리더십 어드바이스,5,187,187,False
188,정규강좌,취업,직업기초능력,"실례합니다만, 비즈니스 매너는 지켜주시겠어요?",5,188,188,False
